sid,dt,p1,p2
2446,2023-09-28 07:00:00,4.7875,0.9425
2446,2023-09-19 12:00:00,4.7225,0.875
2446,2023-09-27 00:00:00,4.9,0.8833333
2446,2023-09-20 20:00:00,4.7733335,0.9166666
2446,2023-10-03 17:00:00,4.8,0.89
2446,2023-10-03 13:00:00,4.75875,1.1125
2446,2023-10-05 07:00:00,4.8754544,0.99545455
2446,2023-09-20 03:00:00,4.875,0.895
2446,2023-10-03 20:00:00,4.765455,0.91181815
2446,2023-10-10 21:00:00,5.0637503,1.41875
2446,2023-10-03 19:00:00,4.8,0.91692305
2446,2023-10-10 09:00:00,4.758333,0.9166666
2446,2023-09-20 01:00:00,4.838333,0.9
2446,2023-09-28 03:00:00,4.91,0.986
2446,2023-10-03 08:00:00,4.8563633,1.0090909
2446,2023-09-21 12:00:00,4.5575,0.87375
2446,2023-09-19 17:00:00,4.8624997,0.95625
2446,2023-09-19 20:00:00,4.746667,0.8666667
2446,2023-09-21 07:00:00,4.7625,0.95
2446,2023-10-03 16:00:00,4.87875,0.95375
2446,2023-10-10 14:00:00,4.652222,0.89777774
2446,2023-09-26 22:00:00,5.0127273,1.0654545
2446,2023-10-11 04:00:00,4.88625,0.97875
2446,2023-10-03 21:00:00,4.7962503,0.885
2446,2023-10-04 00:00:00,4.9066668,0.94166666
2446,2023-10-02 03:00:00,4.8733335,0.92499995
2446,2023-10-03 12:00:00,5.689,1.79
2446,2023-10-02 00:00:00,4.8525,0.8975
2446,2023-10-10 23:00:00,5.645,1.3666667
2446,2023-09-20 19:00:00,4.77,0.89166665
2446,2023-10-05 00:00:00,4.92125,0.91875
2446,2023-09-28 05:00:00,4.86,0.94
2446,2023-09-26 17:00:00,4.7557144,0.9071429
2446,2023-10-09 02:00:00,4.8225,0.8975
2446,2023-10-03 15:00:00,5.2000003,1.316
2446,2023-10-03 14:00:00,5.981818,2.16
2446,2023-09-29 09:00:00,4.71,0.897
2446,2023-10-10 06:00:00,5.1941667,1.055
2446,2023-10-03 03:00:00,4.797778,0.9033333
2446,2023-09-26 04:00:00,4.866667,0.9108333
2446,2023-09-27 23:00:00,4.796667,0.88
2446,2023-09-27 05:00:00,4.7927275,0.88545454
2446,2023-10-03 10:00:00,4.7622223,1.2222222
2446,2023-10-03 09:00:00,4.75,0.97125
2446,2023-09-20 22:00:00,4.75,0.89
2446,2023-10-10 08:00:00,4.8475,0.91875
2446,2023-09-19 08:00:00,4.7349997,0.93333334
2446,2023-10-11 03:00:00,4.831667,0.9133333
2446,2023-10-03 01:00:00,4.804286,0.9785714
2446,2023-10-09 10:00:00,4.7633333,0.9083333
2446,2023-09-20 05:00:00,4.8825,0.9
2446,2023-10-07 18:00:00,4.752222,0.9033333
2446,2023-09-27 03:00:00,4.8114285,0.90999997
2446,2023-10-08 01:00:00,4.7860003,0.93
2446,2023-10-02 23:00:00,4.7266665,0.9088889
2446,2023-09-26 21:00:00,4.9137497,1.04625
2446,2023-10-02 04:00:00,5.781,1.03
2446,2023-09-26 11:00:00,4.653,0.90999997
2446,2023-09-27 01:00:00,4.892857,0.9114286
2446,2023-10-08 22:00:00,4.846667,0.95777774
2446,2023-09-26 06:00:00,4.829,0.88199997
2446,2023-09-19 19:00:00,4.76,0.89
2446,2023-10-01 09:00:00,4.815,0.98333335
2446,2023-10-02 21:00:00,5.4700003,1.826
2446,2023-10-02 07:00:00,4.848889,0.94
2446,2023-10-08 23:00:00,5.1655555,1.508889
2446,2023-09-25 06:00:00,4.9,0.8833333
2446,2023-09-26 16:00:00,4.7181816,0.8727273
2446,2023-09-25 18:00:00,4.81,0.9
2446,2023-10-09 08:00:00,4.8075,0.9
2446,2023-10-09 13:00:00,4.7242856,0.9028571
2446,2023-10-11 01:00:00,4.8911114,0.9222222
2446,2023-10-02 17:00:00,4.8,1.1166667
2446,2023-10-09 11:00:00,4.74125,0.885
2446,2023-09-25 03:00:00,4.9,0.87142855
2446,2023-09-30 23:00:00,4.89,0.93846154
2446,2023-10-09 09:00:00,4.758,0.9
2446,2023-09-26 20:00:00,4.8025002,0.9
2446,2023-09-20 04:00:00,4.8533335,0.89666665
2446,2023-10-02 11:00:00,5.022857,1.1914285
2446,2023-09-19 09:00:00,5.968571,1.0385715
2446,2023-10-02 19:00:00,4.756,0.86
2446,2023-09-27 07:00:00,4.794,0.946
2446,2023-10-02 01:00:00,4.8711114,0.9033333
2446,2023-09-23 21:00:00,4.8133335,0.91166663
2446,2023-09-18 17:00:00,4.725,0.9
2446,2023-10-09 14:00:00,4.67125,0.90875
2446,2023-10-09 00:00:00,4.8933334,0.93
2446,2023-10-01 07:00:00,4.815,0.91875
2446,2023-09-18 14:00:00,4.713333,0.9166666
2446,2023-10-10 22:00:00,4.84125,0.9
2446,2023-10-08 06:00:00,4.8450003,0.9
2446,2023-09-26 18:00:00,4.7827272,0.9136363
2446,2023-09-20 06:00:00,4.86375,0.95
2446,2023-10-01 02:00:00,4.8849998,0.88
2446,2023-10-02 14:00:00,7.62875,4.15
2446,2023-09-26 13:00:00,4.62,0.92399997
2446,2023-10-02 09:00:00,4.77,0.98142856
2446,2023-09-27 02:00:00,4.8428574,0.9142857
2446,2023-10-09 23:00:00,4.78375,0.9225
2446,2023-09-25 07:00:00,4.8875003,0.90875
2446,2023-10-02 08:00:00,4.7944446,0.9311111
2446,2023-10-02 15:00:00,4.62,0.89625
2446,2023-09-19 16:00:00,4.7485714,0.95714283
2446,2023-10-09 03:00:00,4.843077,0.9846154
2446,2023-09-30 19:00:00,4.8,0.945
2446,2023-10-10 20:00:00,5.328,1.265
2446,2023-10-09 16:00:00,4.723,0.86800003
2446,2023-09-18 19:00:00,4.756,0.91999996
